#Size      Number      Rc           Rn         Rn/NTLT    Irr-Num      Irr-Rc      Irr-Rn      Irr-Rn/NTLT

Step    1
Total number of rings: 1682.

 3.0         0         0.000         0         0.000         0         0.000         0         0.000
 4.0         0         0.000         0         0.000         0         0.000         0         0.000
 5.0         0         0.000         0         0.000         0         0.000         0         0.000
 6.0         4         0.001         4         0.001        24         0.001        24         0.007
 7.0         0         0.000         0         0.000         0         0.000         0         0.000
 8.0       129         0.036       129         0.036      1032         0.036      1032         0.287
 9.0         0         0.000         0         0.000         0         0.000         0         0.000
10.0       348         0.097       348         0.097      3480         0.097      3480         0.966
11.0         0         0.000         0         0.000         0         0.000         0         0.000
12.0       344         0.096       344         0.096      4128         0.096      4128         1.146
13.0         0         0.000         0         0.000         0         0.000         0         0.000
14.0       314         0.087       314         0.087      4396         0.087      4396         1.220
15.0         0         0.000         0         0.000         0         0.000         0         0.000
16.0       218         0.061       218         0.061      3488         0.061      3488         0.968
17.0         0         0.000         0         0.000         0         0.000         0         0.000
18.0       126         0.035       126         0.035      2268         0.035      2268         0.630
19.0         0         0.000         0         0.000         0         0.000         0         0.000
20.0        85         0.024        85         0.024      1700         0.024      1700         0.472
21.0         0         0.000         0         0.000         0         0.000         0         0.000
22.0        43         0.012        43         0.012       946         0.012       946         0.263
23.0         0         0.000         0         0.000         0         0.000         0         0.000
24.0        18         0.005        18         0.005       432         0.005       432         0.120
25.0         0         0.000         0         0.000         0         0.000         0         0.000
26.0        12         0.003        12         0.003       312         0.003       312         0.087
27.0         0         0.000         0         0.000         0         0.000         0         0.000
28.0        10         0.003        10         0.003       280         0.003       280         0.078
29.0         0         0.000         0         0.000         0         0.000         0         0.000
30.0         2         0.001         2         0.001        60         0.001        60         0.017
31.0         0         0.000         0         0.000         0         0.000         0         0.000
32.0         7         0.002         7         0.002       224         0.002       224         0.062
33.0         0         0.000         0         0.000         0         0.000         0         0.000
34.0         8         0.002         8         0.002       272         0.002       272         0.076
35.0         0         0.000         0         0.000         0         0.000         0         0.000
36.0         6         0.002         6         0.002       216         0.002       216         0.060
37.0         0         0.000         0         0.000         0         0.000         0         0.000
38.0         6         0.002         6         0.002       228         0.002       228         0.063
39.0         0         0.000         0         0.000         0         0.000         0         0.000
40.0         2         0.001         2         0.001        80         0.001        80         0.022
